Participation_Phase,Price_signal,Date,Group
Phase_1,A_10,2020-02-13,H1
Phase_1,A_10,2020-03-02,H1
Phase_1,A_5,2020-02-14,H1
Phase_1,A_5,2020-03-03,H1
Phase_1,B_10,2020-03-04,H1
Phase_1,B_5,2020-02-11,H1
Phase_1,C,2020-02-12,H1
Phase_1,C,2020-03-05,H1
Phase_1,P_10,2020-02-13,H2
Phase_1,P_10,2020-02-19,H2
Phase_1,P_10,2020-02-27,H2
Phase_1,P_5,2020-03-03,H2
Phase_1,P_5,2020-03-09,H2
Phase_2,A_10,2020-12-17,Os_3
Phase_2,A_10,2021-01-05,Os_4
Phase_2,A_10,2021-01-11,Os_3
Phase_2,A_10,2021-01-13,Os_4
Phase_2,A_10,2021-01-18,Os_3
Phase_2,A_10,2021-01-29,Os_3
Phase_2,A_10,2021-01-29,Os_4
Phase_2,A_10,2021-02-09,Os_3
Phase_2,A_10,2021-02-11,Os_4
Phase_2,A_10,2021-02-15,Os_4
Phase_2,A_5,2020-12-16,Os_6
Phase_2,A_5,2021-01-08,Os_4
Phase_2,A_5,2021-01-18,Os_6
Phase_2,A_5,2021-01-28,Os_4
Phase_2,A_5,2021-02-01,Os_6
Phase_2,A_5,2021-02-11,Os_6
Phase_2,A_5,2021-03-08,Os_4
Phase_2,A_5,2021-03-17,Os_6
Phase_2,A_5,2021-03-22,Os_4
Phase_2,B_10,2020-12-16,Ber_1
Phase_2,B_10,2020-12-16,Os_1
Phase_2,B_10,2020-12-16,Os_3
Phase_2,B_10,2020-12-16,Os_4
Phase_2,B_10,2020-12-16,Trond_1
Phase_2,B_10,2020-12-16,H1
Phase_2,B_10,2021-01-12,Os_4
Phase_2,B_10,2021-01-12,Trond_1
Phase_2,B_10,2021-01-13,Trom_1
Phase_2,B_10,2021-01-14,H1
Phase_2,B_10,2021-01-18,Os_4
Phase_2,B_10,2021-01-27,Os_4
Phase_2,B_10,2021-02-01,Os_4
Phase_2,B_10,2021-02-02,Os_3
Phase_2,B_10,2021-02-04,Ber_1
Phase_2,B_10,2021-02-08,Trond_1
