Price_signal,Price_profile,Price_level,Hour,Experiment_price_NOK_kWh
A_10,A,10,1,1
A_10,A,10,2,0.99
A_10,A,10,3,0.95
A_10,A,10,4,0.95
A_10,A,10,5,0.96
A_10,A,10,6,1
A_10,A,10,7,5.48
A_10,A,10,8,9.95
A_10,A,10,9,10.13
A_10,A,10,10,10.06
A_10,A,10,11,9.88
A_10,A,10,12,7.46
A_10,A,10,13,5.04
A_10,A,10,14,5
A_10,A,10,15,4.96
A_10,A,10,16,7.46
A_10,A,10,17,9.95
A_10,A,10,18,10.13
A_10,A,10,19,10.06
A_10,A,10,20,9.88
A_10,A,10,21,5.49
A_10,A,10,22,1.1
A_10,A,10,23,1.06
A_10,A,10,24,1
A_5,A,5,1,1
A_5,A,5,2,0.99
A_5,A,5,3,0.95
A_5,A,5,4,0.95
A_5,A,5,5,0.96
A_5,A,5,6,1
A_5,A,5,7,2.74
A_5,A,5,8,4.98
A_5,A,5,9,5.07
A_5,A,5,10,5.03
A_5,A,5,11,4.94
A_5,A,5,12,3.73
A_5,A,5,13,2.52
A_5,A,5,14,2.5
A_5,A,5,15,2.48
A_5,A,5,16,3.73
A_5,A,5,17,4.98
A_5,A,5,18,5.07
A_5,A,5,19,5.03
A_5,A,5,20,4.94
A_5,A,5,21,2.75
A_5,A,5,22,1.1
A_5,A,5,23,1.06
A_5,A,5,24,1
B_10,B,10,1,1
B_10,B,10,2,0.99
B_10,B,10,3,0.95
B_10,B,10,4,0.95
B_10,B,10,5,0.96
B_10,B,10,6,1
B_10,B,10,7,5.48
B_10,B,10,8,9.95
B_10,B,10,9,10.13
B_10,B,10,10,10.06
B_10,B,10,11,9.88
B_10,B,10,12,9.95
B_10,B,10,13,10.13
B_10,B,10,14,10
B_10,B,10,15,10.06
B_10,B,10,16,9.88
B_10,B,10,17,9.95
B_10,B,10,18,10.13
B_10,B,10,19,10.06
B_10,B,10,20,9.88
B_10,B,10,21,5.54
B_10,B,10,22,1.1
B_10,B,10,23,1.06
B_10,B,10,24,1
B_15,B,15,1,1
B_15,B,15,2,0.99
B_15,B,15,3,0.95
B_15,B,15,4,0.95
B_15,B,15,5,0.96
B_15,B,15,6,1
B_15,B,15,7,7.9625
B_15,B,15,8,14.925
B_15,B,15,9,15.195
B_15,B,15,10,15.09
B_15,B,15,11,14.82
B_15,B,15,12,14.925
B_15,B,15,13,15.195
B_15,B,15,14,15
B_15,B,15,15,15.09
B_15,B,15,16,14.82
B_15,B,15,17,14.925
B_15,B,15,18,15.195
B_15,B,15,19,15.09
B_15,B,15,20,14.82
B_15,B,15,21,7.96
B_15,B,15,22,1.1
B_15,B,15,23,1.06
B_15,B,15,24,1
B_2,B,2,1,1
B_2,B,2,2,0.99
B_2,B,2,3,0.95
B_2,B,2,4,0.95
B_2,B,2,5,0.96
B_2,B,2,6,1
B_2,B,2,7,1.495
B_2,B,2,8,1.99
B_2,B,2,9,2.03
B_2,B,2,10,2.01
B_2,B,2,11,1.98
B_2,B,2,12,1.99
B_2,B,2,13,2.03
B_2,B,2,14,2
B_2,B,2,15,2.01
B_2,B,2,16,1.98
B_2,B,2,17,1.99
B_2,B,2,18,2.03
B_2,B,2,19,2.01
B_2,B,2,20,1.98
B_2,B,2,21,1.54
B_2,B,2,22,1.1
B_2,B,2,23,1.06
B_2,B,2,24,1
B_5,B,5,1,1
B_5,B,5,2,0.99
B_5,B,5,3,0.95
B_5,B,5,4,0.95
B_5,B,5,5,0.96
B_5,B,5,6,1
B_5,B,5,7,2.74
