ID,Q_Age,Q_Gender,Q_City,Q1,Q4,Q7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q24,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q28,Q29,Q32,Percentage_Change
18,71,1,4,2,3,3,1,1,0,1,0,0,0,0,0,0,0,2,2,4,2,6,5,2,4,5,1,1,1,0,1,0,0,0,0,0,0,4,2,3,-58.78952342108763
23,65,2,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,7,1,6,4,2,4,4,1,1,0,0,0,0,0,0,0,0,0,1,2,1,-22.62219370994768
30,77,1,4,1,1,2,0,0,1,1,0,0,0,0,0,0,0,2,1,7,2,6,5,5,4,5,1,1,1,0,0,0,0,1,0,0,0,4,2,1,-82.80308663365791
31,75,1,4,2,3,3,0,0,1,0,0,1,0,0,0,0,0,2,2,3,1,6,4,3,4,7,1,0,0,0,0,0,0,1,0,0,0,4,2,2,-8.944713087269607
34,73,2,4,1,2,2,1,0,0,0,1,1,1,0,0,0,0,1,1,5,1,6,4,2,4,2,2,0,0,0,0,0,0,1,0,0,0,4,2,6,-16.70203243396169
39,63,1,4,1,3,2,0,0,0,0,0,0,0,0,1,0,0,3,3,7,3,2,4,7,4,4,2,0,0,0,0,0,0,1,0,0,0,4,2,2,-2.2124434866731546
44,72,1,4,1,5,3,1,0,1,0,0,0,0,0,0,0,0,1,3,7,2,6,5,3,3,5,1,1,1,0,0,1,0,0,0,0,0,1,2,1,-4.687607044459319
50,75,1,4,2,5,2,1,1,1,0,0,1,1,0,0,0,0,1,1,5,1,1,5,2,4,7,1,1,0,0,0,1,0,0,0,0,0,1,2,2,3.7305918202902744
61,45,1,5,1,3,3,1,0,1,0,0,0,0,0,0,0,0,1,1,4,4,2,5,5,3,7,1,1,1,1,0,0,0,0,0,0,0,1,2,1,-8.134126082880243
62,45,1,5,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,2,5,1,6,4,1,4,3,1,1,1,0,0,0,0,0,0,0,0,4,2,1,-58.31742233510431
63,78,2,4,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,1,5,1,6,3,3,2,5,1,1,1,0,0,1,0,0,0,0,0,1,2,1,-4.926633018656734
64,73,2,4,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,2,7,1,6,4,7,4,7,1,1,1,0,0,0,0,0,0,1,0,4,2,1,2.6117162948979145
