ID,Q_Age,Q_Gender,Q_City,Q1,Q4,Q7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q24,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q28,Q29,Q32,Price_elasticity
18,71,1,4,2,3,3,1,1,0,1,0,0,0,0,0,0,0,2,2,4,2,6,5,2,4,5,1,1,1,0,1,0,0,0,0,0,0,4,2,3,0.2999647461725976
23,65,2,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,7,1,6,4,2,4,4,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0.03988027157478572
30,77,1,4,1,1,2,0,0,1,1,0,0,0,0,0,0,0,2,1,7,2,6,5,5,4,5,1,1,1,0,0,0,0,1,0,0,0,4,2,1,-0.12000253232718408
31,75,1,4,2,3,3,0,0,1,0,0,1,0,0,0,0,0,2,2,3,1,6,4,3,4,7,1,0,0,0,0,0,0,1,0,0,0,4,2,2,0.0320441894661382
34,73,2,4,1,2,2,1,0,0,0,1,1,1,0,0,0,0,1,1,5,1,6,4,2,4,2,2,0,0,0,0,0,0,1,0,0,0,4,2,6,0.16367588946683792
39,63,1,4,1,3,2,0,0,0,0,0,0,0,0,1,0,0,3,3,7,3,2,4,7,4,4,2,0,0,0,0,0,0,1,0,0,0,4,2,2,0.25011043707344194
44,72,1,4,1,5,3,1,0,1,0,0,0,0,0,0,0,0,1,3,7,2,6,5,3,3,5,1,1,1,0,0,1,0,0,0,0,0,1,2,1,0.08491965527964453
50,75,1,4,2,5,2,1,1,1,0,0,1,1,0,0,0,0,1,1,5,1,1,5,2,4,7,1,1,0,0,0,1,0,0,0,0,0,1,2,2,0.37735679929166677
61,45,1,5,1,3,3,1,0,1,0,0,0,0,0,0,0,0,1,1,4,4,2,5,5,3,7,1,1,1,1,0,0,0,0,0,0,0,1,2,1,-0.026764874990532782
62,45,1,5,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,2,5,1,6,4,1,4,3,1,1,1,0,0,0,0,0,0,0,0,4,2,1,-1.9071466358753175
63,78,2,4,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,1,5,1,6,3,3,2,5,1,1,1,0,0,1,0,0,0,0,0,1,2,1,0.03925179943361839
64,73,2,4,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,2,7,1,6,4,7,4,7,1,1,1,0,0,0,0,0,0,1,0,4,2,1,-0.006649059051400915
67,61,1,4,1,1,2,1,0,0,1,1,1,0,0,0,0,0,1,1,4,2,4,5,5,1,8,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0.20974663529104398
68,79,1,4,1,3,3,1,0,0,1,0,0,0,0,0,0,0,1,1,5,2,6,5,5,4,4,1,0,0,0,0,0,0,1,0,0,0,4,2,5,0.14084780810303774
70,73,1,4,1,3,2,1,1,1,1,0,0,0,0,0,0,0,1,2,5,1,6,5,1,4,2,1,0,0,0,0,0,0,1,0,0,0,4,2,6,0.04350541803636557
72,66,1,4,2,2,2,0,0,0,0,1,0,0,0,0,0,0,2,1,3,2,5,5,5,1,8,1,1,0,1,0,1,0,0,0,0,0,1,1,6,0.07270036915667977
75,79,1,5,2,2,2,0,0,0,0,0,0,0,0,0,1,0,5,3,6,2,6,4,3,1,7,1,1,1,0,0,1,0,0,0,0,0,1,2,2,-0.10017267548039982
76,70,1,4,1,4,2,1,1,1,0,0,1,1,0,0,0,0,1,2,4,2,6,4,5,1,9,1,0,1,1,0,1,0,0,0,0,0,1,1,2,0.05738249136573448
85,66,1,5,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,3,1,6,5,2,4,5,1,1,0,0,0,0,0,0,0,0,0,1,1,3,-0.1458026376769617
88,72,2,4,1,3,2,0,0,0,0,0,1,0,0,0,0,0,1,2,9,1,6,5,3,4,4,1,0,0,0,0,0,0,1,0,0,0,4,2,6,-0.03339625119170936
92,61,1,4,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,5,3,6,4,5,4,7,1,1,1,0,0,0,0,0,0,0,0,4,2,1,0.05451543637778051
96,71,2,5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,8,3,6,5,8,3,6,1,1,1,0,0,1,0,0,0,0,0,1,2,1,-0.306219997915959
100,70,2,4,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,6,2,6,5,5,4,5,1,1,0,0,0,1,0,0,0,0,0,1,2,1,-0.020407128900504418
107,67,1,4,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,1,8,1,6,5,2,4,6,1,1,1,0,0,0,0,0,0,0,0,4,2,1,0.035152615459475345
109,77,1,5,1,3,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,1,6,4,2,4,4,1,0,0,1,0,0,0,0,0,0,0,1,1,3,-0.0023885159431556446
115,66,1,4,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,4,2,6,5,5,1,9,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0.07605660289009164
119,82,1,4,1,5,3,0,0,1,0,0,0,0,0,0,0,0,4,2,6,2,6,5,5,4,7,1,0,0,0,0,1,0,1,0,0,0,4,2,2,0.11810722331697508
133,75,2,4,1,3,2,1,1,0,0,0,1,0,0,0,0,0,1,1,6,2,6,4,3,2,7,2,1,0,0,0,1,0,0,0,0,0,1,1,6,0.0713877484796533
134,55,2,5,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,2,5,2,5,5,5,4,4,1,0,1,0,0,0,0,0,1,0,0,4,2,3,0.015505293145167076
135,62,1,4,1,3,2,1,0,0,1,0,0,0,0,0,0,0,1,2,6,4,6,5,5,1,6,1,1,0,0,0,1,0,0,0,0,0,1,2,1,-0.0459436499806664
142,75,1,5,1,2,1,0,1,1,1,1,0,0,0,0,0,0,1,1,5,5,6,2,2,2,9,1,1,0,1,0,0,0,0,0,0,0,1,2,1,-0.027363508231487074
149,53,1,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,3,5,2,6,4,1,4,4,1,1,1,0,0,0,0,0,0,0,0,4,2,1,0.09555179431038135
150,75,1,4,1,2,2,0,0,1,0,0,0,0,0,0,0,0,2,2,5,2,6,3,3,4,5,1,1,0,0,0,0,0,0,0,0,0,4,2,1,-0.08994328236391619
157,45,1,5,1,2,2,1,0,0,0,0,0,1,0,0,0,0,2,1,2,2,6,4,3,2,4,2,0,0,0,0,0,0,0,1,0,0,1,2,1,0.05764642299044705
167,69,1,5,1,3,3,0,0,1,0,0,0,0,0,0,0,0,2,3,5,2,6,3,3,4,4,2,1,0,0,0,1,0,0,0,0,0,1,2,2,0.031595979332606605
170,67,1,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,2,1,6,2,2,4,6,4,5,1,1,1,0,0,0,0,0,0,0,0,1,2,1,0.08114372509206658
174,75,2,4,1,2,2,0,1,1,0,0,0,0,0,0,0,0,2,2,9,1,6,5,2,4,4,1,1,0,0,0,0,0,0,0,0,0,6,2,6,-0.02155328263340392
175,62,1,5,1,2,2,0,0,1,0,1,0,0,0,0,0,0,1,2,4,2,6,3,5,2,7,1,1,0,0,0,1,1,0,0,0,0,1,2,1,0.15210887609449908
180,69,1,5,1,2,1,0,0,0,0,0,0,0,0,0,1,0,5,1,8,1,6,4,3,2,8,1,0,1,0,0,0,0,0,0,0,0,1,1,1,-0.17602161121710047
190,69,1,5,1,5,1,1,1,0,1,0,0,1,0,0,0,0,1,2,4,2,6,4,3,3,7,1,1,1,0,0,1,0,0,0,0,0,1,2,2,-0.007956086941665191
191,59,1,5,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,2,8,1,3,4,7,4,3,2,1,0,0,0,0,0,1,0,0,0,1,2,6,-0.019279469694394286
194,68,1,4,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,6,2,2,5,5,2,4,1,1,1,1,0,1,0,0,0,0,0,1,2,1,-0.12597206992935245
195,61,1,4,1,1,2,1,1,1,0,1,0,0,0,0,0,0,1,1,3,2,6,5,7,1,9,1,1,0,1,0,1,0,0,0,0,0,1,2,1,0.1099590868841454
196,69,2,4,2,5,3,0,0,0,0,0,0,0,0,0,0,1,3,2,7,2,6,4,5,4,5,1,0,0,0,0,0,0,1,0,0,0,4,2,2,-0.004751901447906312
205,84,1,4,1,3,2,0,1,0,0,1,0,0,0,0,0,0,1,2,4,1,6,5,6,3,6,1,0,1,0,0,1,0,0,0,0,0,4,2,2,0.42916665078094846
207,59,1,4,1,3,1,1,1,1,1,0,0,0,0,0,0,0,4,1,6,1,6,5,4,4,4,1,1,1,0,0,1,0,0,0,0,0,1,2,1,0.12604253268310925
210,55,1,4,2,4,3,1,0,0,1,0,1,0,0,0,0,0,1,3,5,1,6,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,4,2,4,-0.14645363922848464
215,88,2,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,1,6,5,2,4,2,2,1,0,0,0,0,0,0,0,0,0,1,2,1,-0.06548387337840089
221,85,2,4,1,2,1,1,1,0,0,0,1,1,0,0,0,0,1,1,5,1,5,5,2,3,4,1,1,1,0,0,1,0,0,0,0,0,1,2,1,-0.14965324118019643
225,77,2,4,1,4,2,1,1,1,1,0,1,1,0,0,0,0,1,2,6,1,6,3,7,4,7,1,1,1,0,0,0,0,0,0,0,0,1,2,2,0.03942292509145736
226,79,2,4,2,5,2,1,1,0,0,0,0,0,0,0,0,0,1,1,6,1,6,4,7,4,5,1,1,1,0,0,1,0,0,0,0,0,1,2,6,-0.05704591727893393
229,68,2,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,6,1,3,5,7,4,8,1,0,0,0,1,0,0,0,0,0,0,2,2,1,-0.1361637267628183
232,70,1,4,2,5,3,1,1,1,0,0,0,0,0,0,0,0,1,2,5,2,5,5,6,4,6,1,0,1,0,0,0,0,1,0,0,0,4,1,2,-0.20901882196665114
249,68,2,4,1,4,1,1,0,0,0,0,1,1,0,0,0,0,1,2,4,2,4,5,5,4,6,1,1,1,0,0,0,0,1,0,0,0,4,2,1,0.061386806898662424
257,71,1,4,1,5,2,1,1,1,0,0,0,0,0,0,0,0,1,2,5,1,6,4,2,4,5,1,1,0,0,0,0,0,0,0,0,0,1,2,1,-0.344904442379876
260,69,1,4,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,2,4,2,6,5,5,4,6,1,1,0,0,0,0,0,0,0,0,0,4,1,1,-0.09576775052003345
262,68,1,5,1,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,5,2,6,3,3,4,7,1,1,1,0,0,0,0,0,0,0,0,4,2,1,-0.16086874269675588
