ID,Q_Age,Q_Gender,Q_City,Q1,Q4,Q7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q24,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q28,Q29,Q32,Price_elasticity
18,71,1,4,2,3,3,1,1,0,1,0,0,0,0,0,0,0,2,2,4,2,6,5,2,4,5,1,1,1,0,1,0,0,0,0,0,0,4,2,3,-0.22184782414371218
23,65,2,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,7,1,6,4,2,4,4,1,1,0,0,0,0,0,0,0,0,0,1,2,1,-0.08035557894801447
30,77,1,4,1,1,2,0,0,1,1,0,0,0,0,0,0,0,2,1,7,2,6,5,5,4,5,1,1,1,0,0,0,0,1,0,0,0,4,2,1,-0.13670955161274861
31,75,1,4,2,3,3,0,0,1,0,0,1,0,0,0,0,0,2,2,3,1,6,4,3,4,7,1,0,0,0,0,0,0,1,0,0,0,4,2,2,-0.011708490634380458
34,73,2,4,1,2,2,1,0,0,0,1,1,1,0,0,0,0,1,1,5,1,6,4,2,4,2,2,0,0,0,0,0,0,1,0,0,0,4,2,6,-0.022525914370544395
39,63,1,4,1,3,2,0,0,0,0,0,0,0,0,1,0,0,3,3,7,3,2,4,7,4,4,2,0,0,0,0,0,0,1,0,0,0,4,2,2,0.22071861602952134
44,72,1,4,1,5,3,1,0,1,0,0,0,0,0,0,0,0,1,3,7,2,6,5,3,3,5,1,1,1,0,0,1,0,0,0,0,0,1,2,1,-0.004024635151224117
50,75,1,4,2,5,2,1,1,1,0,0,1,1,0,0,0,0,1,1,5,1,1,5,2,4,7,1,1,0,0,0,1,0,0,0,0,0,1,2,2,-0.031400312621759
61,45,1,5,1,3,3,1,0,1,0,0,0,0,0,0,0,0,1,1,4,4,2,5,5,3,7,1,1,1,1,0,0,0,0,0,0,0,1,2,1,-0.04889808419340156
62,45,1,5,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,2,5,1,6,4,1,4,3,1,1,1,0,0,0,0,0,0,0,0,4,2,1,-0.3816398150080202
63,78,2,4,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,1,5,1,6,3,3,2,5,1,1,1,0,0,1,0,0,0,0,0,1,2,1,0.012926473881767582
64,73,2,4,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,2,7,1,6,4,7,4,7,1,1,1,0,0,0,0,0,0,1,0,4,2,1,0.009126074580123631
67,61,1,4,1,1,2,1,0,0,1,1,1,0,0,0,0,0,1,1,4,2,4,5,5,1,8,1,1,1,0,0,1,0,0,0,0,0,1,1,1,-0.06727175450149404
68,79,1,4,1,3,3,1,0,0,1,0,0,0,0,0,0,0,1,1,5,2,6,5,5,4,4,1,0,0,0,0,0,0,1,0,0,0,4,2,5,-0.10456864933304999
70,73,1,4,1,3,2,1,1,1,1,0,0,0,0,0,0,0,1,2,5,1,6,5,1,4,2,1,0,0,0,0,0,0,1,0,0,0,4,2,6,-0.012041626309278982
