ID,Q_Age,Q_Gender,Q_City,Q1,Q4,Q7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q24,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q28,Q29,Q32,Price_elasticity
18,71,1,4,2,3,3,1,1,0,1,0,0,0,0,0,0,0,2,2,4,2,6,5,2,4,5,1,1,1,0,1,0,0,0,0,0,0,4,2,3,-0.22184782414371215
23,65,2,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,7,1,6,4,2,4,4,1,1,0,0,0,0,0,0,0,0,0,1,2,1,-0.08035557894801433
30,77,1,4,1,1,2,0,0,1,1,0,0,0,0,0,0,0,2,1,7,2,6,5,5,4,5,1,1,1,0,0,0,0,1,0,0,0,4,2,1,-0.1367095516127487
31,75,1,4,2,3,3,0,0,1,0,0,1,0,0,0,0,0,2,2,3,1,6,4,3,4,7,1,0,0,0,0,0,0,1,0,0,0,4,2,2,-0.011708490634380356
34,73,2,4,1,2,2,1,0,0,0,1,1,1,0,0,0,0,1,1,5,1,6,4,2,4,2,2,0,0,0,0,0,0,1,0,0,0,4,2,6,-0.02252591437054425
39,63,1,4,1,3,2,0,0,0,0,0,0,0,0,1,0,0,3,3,7,3,2,4,7,4,4,2,0,0,0,0,0,0,1,0,0,0,4,2,2,0.22071861602952147
44,72,1,4,1,5,3,1,0,1,0,0,0,0,0,0,0,0,1,3,7,2,6,5,3,3,5,1,1,1,0,0,1,0,0,0,0,0,1,2,1,-0.004024635151224139
50,75,1,4,2,5,2,1,1,1,0,0,1,1,0,0,0,0,1,1,5,1,1,5,2,4,7,1,1,0,0,0,1,0,0,0,0,0,1,2,2,-0.03140031262175897
61,45,1,5,1,3,3,1,0,1,0,0,0,0,0,0,0,0,1,1,4,4,2,5,5,3,7,1,1,1,1,0,0,0,0,0,0,0,1,2,1,-0.048898084193401414
62,45,1,5,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,2,5,1,6,4,1,4,3,1,1,1,0,0,0,0,0,0,0,0,4,2,1,-0.38163981500802013
63,78,2,4,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,1,5,1,6,3,3,2,5,1,1,1,0,0,1,0,0,0,0,0,1,2,1,0.012926473881767663
64,73,2,4,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,2,7,1,6,4,7,4,7,1,1,1,0,0,0,0,0,0,1,0,4,2,1,0.00912607458012376
67,61,1,4,1,1,2,1,0,0,1,1,1,0,0,0,0,0,1,1,4,2,4,5,5,1,8,1,1,1,0,0,1,0,0,0,0,0,1,1,1,-0.0672717545014939
68,79,1,4,1,3,3,1,0,0,1,0,0,0,0,0,0,0,1,1,5,2,6,5,5,4,4,1,0,0,0,0,0,0,1,0,0,0,4,2,5,-0.10456864933304988
70,73,1,4,1,3,2,1,1,1,1,0,0,0,0,0,0,0,1,2,5,1,6,5,1,4,2,1,0,0,0,0,0,0,1,0,0,0,4,2,6,-0.012041626309278793
72,66,1,4,2,2,2,0,0,0,0,1,0,0,0,0,0,0,2,1,3,2,5,5,5,1,8,1,1,0,1,0,1,0,0,0,0,0,1,1,6,-0.06594435874811666
75,79,1,5,2,2,2,0,0,0,0,0,0,0,0,0,1,0,5,3,6,2,6,4,3,1,7,1,1,1,0,0,1,0,0,0,0,0,1,2,2,-0.0752197301690657
76,70,1,4,1,4,2,1,1,1,0,0,1,1,0,0,0,0,1,2,4,2,6,4,5,1,9,1,0,1,1,0,1,0,0,0,0,0,1,1,2,-0.05612074851739702
85,66,1,5,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,3,1,6,5,2,4,5,1,1,0,0,0,0,0,0,0,0,0,1,1,3,-0.25946384495678704
88,72,2,4,1,3,2,0,0,0,0,0,1,0,0,0,0,0,1,2,9,1,6,5,3,4,4,1,0,0,0,0,0,0,1,0,0,0,4,2,6,0.037577153116806934
